candidate_id,target_cik,filer_name,filer_tickers,sic_codes,sec_signal_date,last_related_filing_date,event_class,confidence,adjudication_status,model_label_eligible,filing_forms,accession_numbers,primary_source_urls,filing_count,review_notes
aec80d20f651f5da2f44,1552451,"MyoKardia, Inc.",[],"[""2834""]",2020-10-19,2020-11-17,tender_offer_target,high,provisional_primary_source,False,"[""SC 14D9"", ""SC 14D9/A""]","[""0001193125-20-271661"", ""0001193125-20-279942"", ""0001193125-20-285661"", ""0001193125-20-286881"", ""0001193125-20-295547""]","[""https://www.sec.gov/Archives/edgar/data/1552451/000119312520271661/d82229dsc14d9.htm"", ""https://www.sec.gov/Archives/edgar/data/1552451/000119312520279942/d10626dsc14d9a.htm"", ""https://www.sec.gov/Archives/edgar/data/1552451/000119312520285661/d54062dsc14d9a.htm"", ""https://www.sec.gov/Archives/edgar/data/1552451/000119312520286881/d41110dsc14d9a.htm"", ""https://www.sec.gov/Archives/edgar/data/1552451/000119312520295547/d96566dsc14d9a.htm""]",5,Schedule 14D-9 identifies the tender-offer subject company. Verify the first public announcement date and exclude non-control offers before promoting this candidate to a training label.
272ea24b8477a044255c,875622,BIOSPECIFICS TECHNOLOGIES CORP,[],"[""2834""]",2020-11-02,2020-12-02,tender_offer_target,high,provisional_primary_source,False,"[""SC 14D9"", ""SC 14D9/A""]","[""0001193125-20-283461"", ""0001193125-20-287479"", ""0001193125-20-296586"", ""0001193125-20-299551"", ""0001193125-20-307950""]","[""https://www.sec.gov/Archives/edgar/data/875622/000119312520283461/d68209dsc14d9.htm"", ""https://www.sec.gov/Archives/edgar/data/875622/000119312520287479/d45689dsc14d9a.htm"", ""https://www.sec.gov/Archives/edgar/data/875622/000119312520296586/d18500dsc14d9a.htm"", ""https://www.sec.gov/Archives/edgar/data/875622/000119312520299551/d925809dsc14d9a.htm"", ""https://www.sec.gov/Archives/edgar/data/875622/000119312520307950/d90208dsc14d9a.htm""]",5,Schedule 14D-9 identifies the tender-offer subject company. Verify the first public announcement date and exclude non-control offers before promoting this candidate to a training label.
7f9d9ae96a44c70dc2fe,1513856,"Neurotrope, Inc.",[],"[""2834""]",2020-11-02,2020-11-02,merger_proxy_filer,review_required,pending_review,False,"[""DEFM14A""]","[""0001104659-20-120571""]","[""https://www.sec.gov/Archives/edgar/data/1513856/000110465920120571/tm2023267-15_defm14a.htm""]",1,"DEFM14A indicates merger-related proxy material, but the filer may be a target, buyer, SPAC, or reverse-merger participant. Manual review required."
7930fc60e84fbe174997,1796129,LifeSci Acquisition Corp.,"[""VINC""]","[""2834""]",2020-12-07,2020-12-07,merger_proxy_filer,review_required,pending_review,False,"[""DEFM14A""]","[""0001193125-20-310869""]","[""https://www.sec.gov/Archives/edgar/data/1796129/000119312520310869/d939466ddefm14a.htm""]",1,"DEFM14A indicates merger-related proxy material, but the filer may be a target, buyer, SPAC, or reverse-merger participant. Manual review required."
5d151c55b3b41e65401c,1731831,"Eidos Therapeutics, Inc.",[],"[""2834""]",2020-12-15,2020-12-15,merger_proxy_filer,review_required,pending_review,False,"[""DEFM14A""]","[""0001193125-20-317643""]","[""https://www.sec.gov/Archives/edgar/data/1731831/000119312520317643/d87012ddefm14a.htm""]",1,"DEFM14A indicates merger-related proxy material, but the filer may be a target, buyer, SPAC, or reverse-merger participant. Manual review required."
3cdc9501926ffd4f6a58,1743881,"BridgeBio Pharma, Inc.","[""BBIO""]","[""2834""]",2020-12-15,2020-12-15,merger_proxy_filer,review_required,pending_review,False,"[""DEFM14A""]","[""0001193125-20-317638""]","[""https://www.sec.gov/Archives/edgar/data/1743881/000119312520317638/d87012ddefm14a.htm""]",1,"DEFM14A indicates merger-related proxy material, but the filer may be a target, buyer, SPAC, or reverse-merger participant. Manual review required."
73003166b4d6e1417f2f,1731176,Tottenham Acquisition I Ltd,[],"[""2834""]",2020-12-18,2020-12-18,merger_proxy_filer,review_required,pending_review,False,"[""DEFM14A""]","[""0001213900-20-043453""]","[""https://www.sec.gov/Archives/edgar/data/1731176/000121390020043453/defm14a1220_tottenhamacqui.htm""]",1,"DEFM14A indicates merger-related proxy material, but the filer may be a target, buyer, SPAC, or reverse-merger participant. Manual review required."
fffeb3f31514fba47b56,1714798,Prevail Therapeutics Inc.,[],"[""2836""]",2020-12-22,2021-01-22,tender_offer_target,high,provisional_primary_source,False,"[""SC 14D9"", ""SC 14D9/A""]","[""0001193125-20-323922"", ""0001193125-21-001547"", ""0001193125-21-009102"", ""0001193125-21-011889"", ""0001193125-21-014272""]","[""https://www.sec.gov/Archives/edgar/data/1714798/000119312520323922/d21517dsc14d9.htm"", ""https://www.sec.gov/Archives/edgar/data/1714798/000119312521001547/d292793dsc14d9a.htm"", ""https://www.sec.gov/Archives/edgar/data/1714798/000119312521009102/d112561dsc14d9a.htm"", ""https://www.sec.gov/Archives/edgar/data/1714798/000119312521011889/d107971dsc14d9a.htm"", ""https://www.sec.gov/Archives/edgar/data/1714798/000119312521014272/d115065dsc14d9a.htm""]",5,Schedule 14D-9 identifies the tender-offer subject company. Verify the first public announcement date and exclude non-control offers before promoting this candidate to a training label.
7d1f5840898f8939a5c6,1378624,"Cellular Biomedicine Group, Inc.",[],"[""2836""]",2020-12-29,2020-12-29,merger_proxy_filer,review_required,pending_review,False,"[""DEFM14A""]","[""0001193125-20-328697""]","[""https://www.sec.gov/Archives/edgar/data/1378624/000119312520328697/d55648ddefm14a.htm""]",1,"DEFM14A indicates merger-related proxy material, but the filer may be a target, buyer, SPAC, or reverse-merger participant. Manual review required."
b47a03020c0900829e6c,1586049,Oxford Immunotec Global PLC,[],"[""2835""]",2021-01-29,2021-01-29,merger_proxy_filer,review_required,pending_review,False,"[""DEFM14A""]","[""0001140361-21-002606""]","[""https://www.sec.gov/Archives/edgar/data/1586049/000114036121002606/nc10018681x4_defm14a.htm""]",1,"DEFM14A indicates merger-related proxy material, but the filer may be a target, buyer, SPAC, or reverse-merger participant. Manual review required."
c74ece601619826181de,1326110,"NantKwest, Inc.","[""IBRX""]","[""2836""]",2021-02-02,2021-02-02,merger_proxy_filer,review_required,pending_review,False,"[""DEFM14A""]","[""0001193125-21-025220""]","[""https://www.sec.gov/Archives/edgar/data/1326110/000119312521025220/d121587ddefm14a.htm""]",1,"DEFM14A indicates merger-related proxy material, but the filer may be a target, buyer, SPAC, or reverse-merger participant. Manual review required."
925676497e6d22f2aadc,1467652,"Neos Therapeutics, Inc.",[],"[""2834""]",2021-02-09,2021-02-09,merger_proxy_filer,review_required,pending_review,False,"[""DEFM14A""]","[""0001213900-21-007770""]","[""https://www.sec.gov/Archives/edgar/data/1467652/000121390021007770/fdefm14a2021_neostherapeutic.htm""]",1,"DEFM14A indicates merger-related proxy material, but the filer may be a target, buyer, SPAC, or reverse-merger participant. Manual review required."
eb8ac53a9d17030cbd0c,1439222,"AGIOS PHARMACEUTICALS, INC.","[""AGIO""]","[""2834""]",2021-02-11,2021-02-11,merger_proxy_filer,review_required,pending_review,False,"[""DEFM14A""]","[""0001193125-21-038486""]","[""https://www.sec.gov/Archives/edgar/data/1439222/000119312521038486/d108944ddefm14a.htm""]",1,"DEFM14A indicates merger-related proxy material, but the filer may be a target, buyer, SPAC, or reverse-merger participant. Manual review required."
0b9ee9435fb42ac3557a,1734517,"Viela Bio, Inc.",[],"[""2834""]",2021-02-12,2021-03-15,tender_offer_target,high,provisional_primary_source,False,"[""SC 14D9"", ""SC 14D9/A""]","[""0001193125-21-040169"", ""0001193125-21-053298"", ""0001193125-21-067138"", ""0001193125-21-073398"", ""0001193125-21-079852"", ""0001193125-21-080630""]","[""https://www.sec.gov/Archives/edgar/data/1734517/000119312521040169/d130262dsc14d9.htm"", ""https://www.sec.gov/Archives/edgar/data/1734517/000119312521053298/d54386dsc14d9a.htm"", ""https://www.sec.gov/Archives/edgar/data/1734517/000119312521067138/d95859dsc14d9a.htm"", ""https://www.sec.gov/Archives/edgar/data/1734517/000119312521073398/d138857dsc14d9a.htm"", ""https://www.sec.gov/Archives/edgar/data/1734517/000119312521079852/d154787dsc14d9a.htm"", ""https://www.sec.gov/Archives/edgar/data/1734517/000119312521080630/d112037dsc14d9a.htm""]",6,Schedule 14D-9 identifies the tender-offer subject company. Verify the first public announcement date and exclude non-control offers before promoting this candidate to a training label.
a49b75cf48718f941d05,1740547,Urovant Sciences Ltd.,[],"[""2834""]",2021-02-19,2021-02-19,merger_proxy_filer,review_required,pending_review,False,"[""DEFM14A""]","[""0001193125-21-048255""]","[""https://www.sec.gov/Archives/edgar/data/1740547/000119312521048255/d38874ddefm14a.htm""]",1,"DEFM14A indicates merger-related proxy material, but the filer may be a target, buyer, SPAC, or reverse-merger participant. Manual review required."
93e780a5fa3f8209e539,1807901,"Pandion Therapeutics, Inc.",[],"[""2834""]",2021-03-04,2021-04-01,tender_offer_target,high,provisional_primary_source,False,"[""SC 14D9"", ""SC 14D9/A""]","[""0001193125-21-069722"", ""0001193125-21-089570"", ""0001193125-21-103342""]","[""https://www.sec.gov/Archives/edgar/data/1807901/000119312521069722/d112288dsc14d9.htm"", ""https://www.sec.gov/Archives/edgar/data/1807901/000119312521089570/d112288dsc14d9a.htm"", ""https://www.sec.gov/Archives/edgar/data/1807901/000119312521103342/d166809dsc14d9a.htm""]",3,Schedule 14D-9 identifies the tender-offer subject company. Verify the first public announcement date and exclude non-control offers before promoting this candidate to a training label.
9d3fc483bb95f0c712cd,1731348,"Tilray, Inc.","[""TLRY""]","[""2833""]",2021-03-12,2021-03-12,merger_proxy_filer,review_required,pending_review,False,"[""DEFM14A""]","[""0001140361-21-008386""]","[""https://www.sec.gov/Archives/edgar/data/1731348/000114036121008386/nt10018953x3_defm14a.htm""]",1,"DEFM14A indicates merger-related proxy material, but the filer may be a target, buyer, SPAC, or reverse-merger participant. Manual review required."
fa65c5740cc2fbc3383f,1351288,GW PHARMACEUTICALS PLC,[],"[""2834""]",2021-03-15,2021-03-15,merger_proxy_filer,review_required,pending_review,False,"[""DEFM14A""]","[""0001193125-21-081425""]","[""https://www.sec.gov/Archives/edgar/data/1351288/000119312521081425/d320586ddefm14a.htm""]",1,"DEFM14A indicates merger-related proxy material, but the filer may be a target, buyer, SPAC, or reverse-merger participant. Manual review required."
