candidate_id,sec_signal_date,filer_name,filer_tickers,event_class,candidate_confidence,decision,reviewed_target_cik,reviewed_target_name,reviewed_target_ticker,acquirer_name,first_public_announcement_at,transaction_structure,change_of_control_percent,transaction_status,review_primary_source_url,reviewer,reviewed_at,review_notes
3deb439f5a71baf467d6,2018-01-03,REPROS THERAPEUTICS INC.,[],tender_offer_target,high,,,,,,,,,,,,,
59265db76f982f3f75ae,2018-01-08,Advanced Accelerator Applications S.A.,[],merger_proxy_filer,review_required,,,,,,,,,,,,,
10dbce90eb1b3d72e5e4,2018-01-10,"Ignyta, Inc.",[],tender_offer_target,high,,,,,,,,,,,,,
4f5c1e9873fad4681116,2018-01-16,"Sucampo Pharmaceuticals, Inc.",[],tender_offer_target,high,,,,,,,,,,,,,
d67f9dbe8d11eaa277c4,2018-01-23,"Juno Therapeutics, Inc.",[],tender_offer_target,high,,,,,,,,,,,,,
f2cb6536654ff119b7a4,2018-02-08,"Cascadian Therapeutics, Inc.",[],tender_offer_target,high,,,,,,,,,,,,,
082936b63ff85fe5824b,2018-02-08,Bioverativ Inc.,[],tender_offer_target,high,,,,,,,,,,,,,
d2bf98d72dde398b3a83,2018-02-12,IMPAX LABORATORIES INC,[],merger_proxy_filer,review_required,,,,,,,,,,,,,
dc691407d6ec10924c8d,2018-03-29,"IDERA PHARMACEUTICALS, INC.",[],merger_proxy_filer,review_required,,,,,,,,,,,,,
82f08ac3a7ebe20bd04e,2018-03-29,BIOCRYST PHARMACEUTICALS INC,"[""BCRX""]",merger_proxy_filer,review_required,,,,,,,,,,,,,
70b455548e9af8f5375e,2018-04-04,Ablynx NV,[],tender_offer_target,high,,,,,,,,,,,,,
2e452227fb747b577bf6,2018-04-17,"AveXis, Inc.",[],tender_offer_target,high,,,,,,,,,,,,,
74e33203d7dea1794a81,2018-04-30,TiGenix NV,[],tender_offer_target,high,,,,,,,,,,,,,
fba0161264e48891a521,2018-05-23,"ARMO BioSciences, Inc.",[],tender_offer_target,high,,,,,,,,,,,,,
64506aaf93dcf822369d,2018-06-25,SteadyMed Ltd.,[],merger_proxy_filer,review_required,,,,,,,,,,,,,
59b8cc0b3f426532a04e,2018-07-17,JUNIPER PHARMACEUTICALS INC,[],tender_offer_target,high,,,,,,,,,,,,,
e2e7d96bc254fadd94e5,2018-09-14,TAPIMMUNE INC.,"[""MRKR""]",merger_proxy_filer,review_required,,,,,,,,,,,,,
44afeb682fc2800d52c1,2018-10-04,SENOMYX INC,[],tender_offer_target,high,,,,,,,,,,,,,
92c160a95307f69d494a,2018-10-26,"Corium International, Inc.",[],tender_offer_target,high,,,,,,,,,,,,,
c4e22fb17b914f86d149,2018-10-30,KERYX BIOPHARMACEUTICALS INC,[],merger_proxy_filer,review_required,,,,,,,,,,,,,
3b629fdd497cb70a259b,2018-11-06,"OvaScience, Inc.","[""TPST""]",merger_proxy_filer,review_required,,,,,,,,,,,,,
6caf3165110b98f3102d,2018-11-16,ENDOCYTE INC,[],merger_proxy_filer,review_required,,,,,,,,,,,,,
aafbd9d78eab19226b90,2018-12-14,"TESARO, Inc.",[],tender_offer_target,high,,,,,,,,,,,,,
41a057053ec16d332f71,2018-12-21,"AVENUE THERAPEUTICS, INC.","[""ATXI""]",merger_proxy_filer,review_required,,,,,,,,,,,,,
af5940c6039f130189c1,2018-12-28,Aphria Inc.,[],tender_offer_target,high,,,,,,,,,,,,,
4cb9fd79cb439bde776a,2019-01-17,"Loxo Oncology, Inc.",[],tender_offer_target,high,,,,,,,,,,,,,
9b58e01887d6d9bcebbf,2019-02-04,"Asterias Biotherapeutics, Inc.",[],merger_proxy_filer,review_required,,,,,,,,,,,,,
ef18db548786ad4b9db4,2019-02-22,CELGENE CORP /DE/,[],merger_proxy_filer,review_required,,,,,,,,,,,,,
b2eecc683d683cb682e3,2019-03-05,IMMUNE DESIGN CORP.,[],tender_offer_target,high,,,,,,,,,,,,,
2a8e6cb3e0f728913216,2019-03-07,"Spark Therapeutics, Inc.",[],tender_offer_target,high,,,,,,,,,,,,,
e4ef58aba61055e0d4ce,2019-03-20,OncoMed Pharmaceuticals Inc,[],merger_proxy_filer,review_required,,,,,,,,,,,,,
c568d44e0b36b37b3f2c,2019-03-20,"OSIRIS THERAPEUTICS, INC.",[],tender_offer_target,high,,,,,,,,,,,,,
f73b22ef8c2932ac7973,2019-04-04,AmpliPhi Biosciences Corp,"[""ARMP""]",merger_proxy_filer,review_required,,,,,,,,,,,,,
