owner_name,asset_count
Shanghai Institute Of Biological Products,27
AMNEAL PHARMACEUTICALS CO GMBH,26
NATCO PHARMA LTD,26
"Beijing InnoCare Pharma Tech Co., Ltd.",26
CStone Pharmaceuticals,26
Gan & Lee Pharmaceuticals.,25
"Juno Therapeutics, Inc., a Bristol-Myers Squibb Company",25
"Sanofi Pasteur, a Sanofi Company",25
HERITAGE PHARMACEUTICALS INC DBA AVET PHARMACEUTICALS INC,24
DR REDDYS LABORATORIES INC,24
ORBION PHARMACEUTICALS PRIVATE LTD,24
JUBILANT GENERICS LTD,24
"Allist Pharmaceuticals, Inc.",24
Astellas Pharma Inc,24
BioNTech SE,24
Chong Kun Dang Pharmaceutical,24
Daewoong Pharmaceutical Co. LTD.,24
DualityBio Inc.,24
"Sinovac Biotech Co., Ltd",24
"Taiho Oncology, Inc.",24
SPECGX LLC,23
PHARMACEUTICAL ASSOCIATES INC,23
HIKMA FARMACEUTICA (PORTUGAL) SA,23
OXFORD PHARMACEUTICALS LLC,23
BAYER HEALTHCARE PHARMACEUTICALS INC,23
"Otsuka Pharmaceutical Development & Commercialization, Inc.",23
"Shandong New Time Pharmaceutical Co., LTD",23
"Sunshine Guojian Pharmaceutical (Shanghai) Co., Ltd.",23
"Sunshine Lake Pharma Co., Ltd.",23
"Taiho Pharmaceutical Co., Ltd.",23
APPCO PHARMA LLC,22
GRANULES INDIA LTD,22
SUNSHINE LAKE PHARMA CO LTD,22
BRECKENRIDGE PHARMACEUTICAL INC,22
Acerta Pharma BV,22
"Aspargo Labs, Inc",22
"Chongqing Precision Biotech Co., Ltd",22
Hutchmed,22
"Kite, A Gilead Company",22
"Kyowa Kirin Co., Ltd.",22
"Mabwell (Shanghai) Bioscience Co., Ltd.",22
Phanes Therapeutics,22
Philogen S.p.A.,22
Valenta Pharm JSC,22
OTSUKA ICU MEDICAL LLC,21
MYLAN INSTITUTIONAL LLC,21
"Dong-A ST Co., Ltd.",21
Eisai Inc.,21
"Shenzhen Salubris Pharmaceuticals Co., Ltd.",21
"Tasly Pharmaceutical Group Co., Ltd",21
GRANULES PHARMACEUTICALS INC,20
RISING PHARMA HOLDING INC,20
"Alexion Pharmaceuticals, Inc.",20
"Beijing Biostar Pharmaceuticals Co., Ltd.",20
"CSPC Zhongnuo Pharmaceutical (Shijiazhuang) Co., Ltd.",20
Changchun BCHT Biotechnology Co.,20
FBD Biologics Limited,20
Guangzhou Lupeng Pharmaceutical Company LTD.,20
"Guangzhou Patronus Biotech Co., Ltd.",20
"Revolution Medicines, Inc.",20
GLENMARK SPECIALTY SA,19
L PERRIGO CO,19
BIOCON PHARMA LTD,19
GENENTECH INC,19
BeBetter Med Inc,19
"Innovent Biopharmaceutical Technology (Hangzhou) Co., LTD.",19
LaNova Medicines Limited,19
"Nanjing Leads Biolabs Co.,Ltd",19
XGEN PHARMACEUTICALS DJB INC,18
GLENMARK PHARMACEUTICALS INC USA,18
ACTAVIS MID ATLANTIC LLC,18
TP ANDA HOLDINGS LLC,18
NEXUS PHARMACEUTICALS LLC,18
QILU PHARMACEUTICAL HAINAN CO LTD,18
PERRIGO R AND D CO,18
"Arcus Biosciences, Inc.",18
Bio-Thera Solutions,18
Chiesi Farmaceutici S.p.A.,18
Hanmi Pharmaceutical Company Limited,18
Mirati Therapeutics Inc.,18
UCB Biopharma SRL,18
LAURUS LABS LTD,17
AVET LIFESCIENCES LTD,17
HALEON US HOLDINGS LLC,17
ANDA REPOSITORY LLC,17
COREPHARMA LLC,17
TWI PHARMACEUTICALS INC,17
NAVINTA LLC,17
YICHANG HUMANWELL PHARMACEUTICAL CO LTD,17
JUBILANT CADISTA PHARMACEUTICALS INC,17
CSL Behring,17
Colgate Palmolive,17
"Daewon Pharmaceutical Co., Ltd.",17
Genfleet Therapeutics (Shanghai) Inc.,17
Glaukos Corporation,17
"Guangzhou JOYO Pharma Co., Ltd",17
Luye Pharma Group Ltd.,17
MedImmune LLC,17
"SK Bioscience Co., Ltd.",17
"Shanghai Chia Tai Tianqing Pharmaceutical Technology Development Co., Ltd.",17
Shanghai Fosun Pharmaceutical Industrial Development Co. Ltd.,17
"Shanghai Runshi Pharmaceutical Technology Co., Ltd",17
"Sumitomo Pharma America, Inc.",17
"Suzhou Zelgen Biopharmaceuticals Co.,Ltd",17
QILU PHARMACEUTICAL CO LTD,16
MARKSANS PHARMA LTD,16
AUROLIFE PHARMA LLC,16
HIBROW HEALTHCARE PRIVATE LTD,16
HERITAGE PHARMA LABS INC,16
ALCON LABORATORIES INC,16
SLATE RUN PHARMACEUTICALS LLC,16
UNIQUE PHARMACEUTICAL LABORATORIES A DIV OF JB CHEMICALS AND PHARMACEUTICALS LTD,16
BOEHRINGER INGELHEIM PHARMACEUTICALS INC,16
IPCA LABORATORIES LTD,16
COSETTE PHARMACEUTICALS INC,16
LEADING PHARMA LLC,16
GENENTECH,16
"Betta Pharmaceuticals Co., Ltd.",16
Celltrion,16
Exelixis,16
"Genrix (Shanghai) Biopharmaceutical Co., Ltd.",16
"Han Xu, M.D., Ph.D., FAPCR, Sponsor-Investigator, IRB Chair",16
"InxMed (Shanghai) Co., Ltd.",16
Nanjing Chia-tai Tianqing Pharmaceutical,16
"Shanghai Pharmaceuticals Holding Co., Ltd",16
"Stemline Therapeutics, Inc.",16
Sun Pharmaceutical Industries Limited,16
Teva Branded Pharmaceutical Products R&D LLC,16
"TheRas, Inc., d/b/a BBOT (BridgeBio Oncology Therapeutics)",16
ELITE LABORATORIES INC,15
ASTRAZENECA PHARMACEUTICALS LP,15
CHARTWELL LIFE MOLECULES LLC,15
LEGACY PHARMA INC SEZC,15
AJENAT PHARMACEUTICALS LLC,15
TEVA PHARMACEUTICALS INC,15
VIATRIS SPECIALTY LLC,15
"Immatics US, Inc.",15
Ipsen,15
Karyopharm Therapeutics Inc,15
Minghui Pharmaceutical (Hangzhou) Ltd,15
WOCKHARDT BIO AG,14
WAYLIS THERAPEUTICS LLC,14
HQ SPECIALTY PHARMA CORP,14
GRAVITI PHARMACEUTICALS PRIVATE LTD,14
HIKMA FARMACEUTICA PORTUGAL SA,14
SANOFI AVENTIS US LLC,14
CURIUM US LLC,14
"Avenzo Therapeutics, Inc.",14
"Beijing Continent Pharmaceutical Co, Ltd.",14
"Beijing Tide Pharmaceutical Co., Ltd",14
Chugai Pharmaceutical,14
"GI Innovation, Inc.",14
MAXVAX Biotechnology Limited Liability Company,14
"RayzeBio, Inc.",14
"SUNHO（China）BioPharmaceutical CO., Ltd.",14
"Toray Industries, Inc",14
KENVUE BRANDS LLC,13
RHODES PHARMACEUTICALS LP,13
TRIS PHARMA INC,13
ALVOGEN INC,13
ORGANON LLC A SUB OF ORGANON AND CO,13
HARROW EYE LLC,13
UMEDICA LABORATORIES PRIVATE LTD,13
"Applied Biology, Inc.",13
Ellipses Pharma,13
Grit Biotechnology,13
HK inno.N Corporation,13
"ImmunityBio, Inc.",13
"Jecho Biopharmaceuticals Co., Ltd.",13
"Kunming Pharmaceuticals, Inc.",13
"Kura Oncology, Inc.",13
"Merck Healthcare KGaA, Darmstadt, Germany, an affiliate of Merck KGaA, Darmstadt, Germany",13
"Nanjing IASO Biotechnology Co., Ltd.",13
VIIV HEALTHCARE CO,12
ABHAI LLC,12
SIGMAPHARM LABORATORIES LLC,12
YILING PHARMACEUTICAL LTD,12
ACS DOBFAR SPA,12
SHILPA MEDICARE LTD,12
GLAXOSMITHKLINE LLC,12
IVAX PHARMACEUTICALS INC SUB TEVA PHARMACEUTICALS USA,12
AVYXA HOLDINGS LLC,12
"Beijing Mabworks Biotech Co., Ltd.",12
Biotheus Inc.,12
"CSPC Ouyi Pharmaceutical Co., Ltd.",12
CellCentric Ltd.,12
Eurofarma Laboratorios S.A.,12
HC Biopharma Inc.,12
Insud Pharma,12
"Intra-Cellular Therapies, Inc.",12
"InventisBio Co., Ltd",12
JW Pharmaceutical,12
"Jiangsu Chia Tai Fenghai Pharmaceutical Co., Ltd.",12
LG Chem,12
"Modulation Therapeutics, Inc.",12
Servier Bio-Innovation LLC,12
Shionogi,12
"Sinovac Life Sciences Co., Ltd.",12
"Suzhou Transcenta Therapeutics Co., Ltd.",12
"TORL Biotherapeutics, LLC",12
"Tesaro, Inc.",12
GENUS LIFESCIENCES INC,11
GALDERMA LABORATORIES LP,11
GE HEALTHCARE,11
CARNEGIE PHARMACEUTICALS LLC,11
ADAPTIS PHARMA PRIVATE LTD,11
DEVA HOLDING AS,11
CSPC OUYI PHARMACEUTICAL CO LTD,11
BRACCO DIAGNOSTICS INC,11
UCB INC,11
WEST-WARD PHARMACEUTICALS INTERNATIONAL LTD,11
EXELA PHARMA SCIENCES LLC,11
LONG GROVE PHARMACEUTICALS LLC,11
JANSSEN PHARMACEUTICALS INC,11
XIROMED LLC,11
AO GENERIUM,11
"Aragon Pharmaceuticals, Inc.",11
"Bausch Health Americas, Inc.",11
BicycleTx Limited,11
BioInvent International AB,11
BnH Research,11
"BrightGene Bio-Medical Technology Co., Ltd.",11
"Guangdong Hengqin Novagains Biopharmaceutical Co., Ltd.",11
"Jiangxi Kvvit Pharmaceutical Co., Ltd.",11
Jina Pharmaceuticals Inc.,11
Johnson & Johnson Enterprise Innovation Inc.,11
Kumquat Biosciences Inc.,11
"Loxo Oncology, Inc.",11
"OncoC4, Inc.",11
Onconic Therapeutics Inc.,11
PT. Prodia Stem Cell Indonesia,11
"PersonGen BioTherapeutics (Suzhou) Co., Ltd.",11
Pierre Fabre Medicament,11
R-Pharm,11
"R-Pharm International, LLC",11
"Rakuten Medical, Inc.",11
"Risen (Suzhou) Pharma Tech Co., Ltd.",11
"ScinnoHub Pharmaceutical Co., Ltd.",11
Serum Institute of India Pvt. Ltd.,11
"Shanghai Huaota Biopharmaceutical Co., Ltd.",11
"The United Bio-Technology (Hengqin) Co., Ltd.",11
"USWM CT, LLC",11
"Xuanzhu Biopharmaceutical Co., Ltd.",11
Yuhan Corporation,11
mAbxience Research S.L.,11
INFORLIFE SA,10
LGM PHARMA SOLUTIONS LLC,10
CADILA HEALTHCARE LTD,10
MPP PHARMA LLC,10
EDENBRIDGE PHARMACEUTICALS LLC,10
CASPER PHARMA LLC,10
WATSON LABORATORIES INC AN INDIRECT WHOLLY OWNED SUB OF TEVA PHARMACEUTICALS USA INC,10
WILSHIRE PHARMACEUTICALS INC,10
PF PRISM CV,10
ASTRAZENECA AB,10
SAGENT PHARMACEUTICALS,10
INVENTIA HEALTHCARE LTD,10
CHARTWELL MOLECULES LLC,10
BE PHARMACEUTICALS AG,10
ACTAVIS LABORATORIES FL INC AN INDIRECT WHOLLY OWNED SUB OF TEVA PHARMACEUTICALS USA INC,10
DEXCEL PHARMA TECHNOLOGIES LTD,10
MILLA PHARMACEUTICALS INC,10
JANSSEN BIOTECH,10
"3D Medicines (Sichuan) Co., Ltd.",10
AIRNA Corporation,10
Basilea Pharmaceutica,10
"Beijing Konruns Pharmaceutical Co., Ltd.",10
CatalYm GmbH,10
China National Biotec Group Company Limited,10
"D3 Bio (Wuxi) Co., Ltd",10
Debiopharm International SA,10
GC Biopharma Corp,10
"Guangdong Raynovent Biotech Co., Ltd",10
"Hangzhou Sumgen Biotech Co., Ltd.",10
I-Mab Biopharma US Limited,10
IDEAYA Biosciences,10
InSilico Medicine Hong Kong Limited,10
"Inhibrx Biosciences, Inc",10
Kangabio AUSTRALIA LTD PTY,10
Laboratorios Silanes S.A. de C.V.,10
Miltenyi Biomedicine GmbH,10
Multitude Therapeutics Inc.,10
"OrsoBio, Inc",10
"Otsuka Pharmaceutical Co., Ltd.",10
"Shanghai EpimAb Biotherapeutics Co., Ltd.",10
Shanghai Juncell Therapeutics,10
Shanghai Miracogen Inc.,10
"Shanghai Reinovax Biologics Co.,LTD",10
"Shanghai Shengdi Pharmaceutical Co., Ltd",10
"TJ Biopharma Co., Ltd.",10
"TYK Medicines, Inc",10
Telix Pharmaceuticals (Innovations) Pty Limited,10
US Oncology Research,10
MISSION PHARMACAL CO,9
P AND L DEVELOPMENT LLC,9
SENTISS AG,9
ADVANZ PHARMA (US) CORP,9
ACELLA PHARMACEUTICALS LLC,9
PAI HOLDINGS LLC DBA PHARMACEUTICAL ASSOCIATES INC AND DBA PAI PHARMA,9
INTERNATIONAL MEDICATION SYSTEMS LTD,9
JIANGSU HANSOH PHARMACEUTICAL GROUP CO LTD,9
MAYNE PHARMA LLC,9
BAUSCH HEALTH AMERICAS INC,9
PERRIGO PHARMA INTERNATIONAL DAC,9
BPI LABS LLC,9
SHANDONG NEW TIME PHARMACEUTICAL CO LTD,9
SAMSUNG BIOEPIS CO LTD,9
"ADARx Pharmaceuticals, Inc.",9
AGO Research GmbH,9
ALX Oncology Inc.,9
Actelion,9
"Alterome Therapeutics, Inc.",9
"AskGene Pharma, Inc.",9
"Ausper Biopharma Co., Ltd.",9
Beacon Therapeutics,9
"Beijing Zhifei Lvzhu Biopharmaceutical Co., Ltd",9
"BioRay Pharmaceutical Co., Ltd.",9
BioSyngen Pte Ltd,9
Biohaven Therapeutics Ltd.,9
Celcuity Inc,9
"Convalife (Shanghai) Co., Ltd.",9
Convergent Therapeutics,9
"Criterium, Inc.",9
Fate Therapeutics,9
HALEON,9
"Hebei Senlang Biotechnology Inc., Ltd.",9
"Hunan Kelun Pharmaceutical Co., Ltd.",9
Hyundai Pharm,9
"Il-Yang Pharm. Co., Ltd.",9
Immatics Biotechnologies GmbH,9
Inmunotek S.L.,9
"JMackem Co., Ltd",9
Laboratoires Thea,9
Laboratorios Sophia S.A de C.V.,9
Merus B.V.,9
OSE Immunotherapeutics,9
"Olema Pharmaceuticals, Inc.",9
Presage Biosciences,9
Prestige Biopharma Limited,9
"Qingdao Sino-Cell Biomedicine Co., Ltd.",9
"Sarepta Therapeutics, Inc.",9
"Shanghai Ark Biopharmaceutical Co., Ltd.",9
"Shanghai Bovax Biotechnology Co., Ltd.",9
Shin Poong Pharmaceutical Co. Ltd.,9
"Sichuan Huiyu Pharmaceutical Co., Ltd",9
"Taizhou Mabtech Pharmaceutical Co.,Ltd",9
"TransThera Sciences (Nanjing), Inc.",9
"Vividion Therapeutics, Inc.",9
"WestVac Biopharma Co., Ltd.",9
"Zhejiang Doer Biologics Co., Ltd.",9
ACTAVIS LABORATORIES UT INC,8
NUVO PHAMACEUTICALS INC,8
SAPTALIS PHARMACEUTICALS LLC,8
HIKMA PHARMACEUTICALS,8
ASTELLAS PHARMA US INC,8
AUCTA PHARMACEUTICALS INC,8
J MOLNER HOLDINGS INC,8
CREEKWOOD PHARMACEUTICALS LLC,8
GLAXOSMITHKLINE,8
PURACAP PHARMACEUTICAL LLC,8
KVK TECH INC,8
RECORDATI RARE DISEASES INC,8
HAINAN POLY PHARM CO LTD,8
MYLAN TECHNOLOGIES INC,8
RENATA PLC,8
NIVAGEN PHARMACEUTICALS INC,8
FDC LTD,8
AVANTHI INC,8
NAARI PTE LTD,8
STERISCIENCE PTE LTD,8
ALMATICA PHARMA LLC,8
GENZYME CORP,8
MERCK SHARP AND DOHME LLC A SUB OF MERCK AND CO INC,8
"1ST Biotherapeutics, Inc.",8
"Almirall, S.A.",8
"Anhui Zhifei Longcom Biologic Pharmacy Co., Ltd.",8
Apsen Farmaceutica S.A.,8
"Atom Therapeutics Co., Ltd",8
"Avistone Biotechnology Co., Ltd.",8
"Beijing QL Biopharmaceutical Co.,Ltd",8
Brilliant Inspiration Biotherapeutics,8
Celyad Oncology SA,8
Curevo Inc,8
Eikon Therapeutics,8
Enliven Therapeutics,8
EnnovaBio,8
Evopoint Biosciences Inc.,8
"FutureGen Biopharmaceutical (Beijing) Co., Ltd",8
"Guangzhou FineImmune Biotechnology Co., LTD.",8
Guerbet,8
Hudson Biotech,8
"Huons Co., Ltd.",8
"Indapta Therapeutics, INC.",8
Innovent Biologics Technology Limited (Shanghai R&D Center),8
"Jiangsu Aosaikang Pharmaceutical Co., Ltd.",8
"Jiangsu vcare pharmaceutical technology co., LTD",8
Korea United Pharm. Inc.,8
"LaNova Medicines Zhejiang Co., Ltd.",8
Laboratorio Elea Phoenix S.A.,8
"Linnaeus Therapeutics, Inc.",8
"Nanjing Sanhome Pharmaceutical, Co., Ltd.",8
Nelum Corp,8
Prevail Therapeutics,8
"Prime Gene Therapeutics Co., Ltd.",8
"Replimune, Inc.",8
"Shanghai Fudan-Zhangjiang Bio-Pharmaceutical Co., Ltd.",8
"Shanghai Jiatan Pharmatech Co., Ltd",8
"Shanghai Vitalgen BioPharma Co., Ltd.",8
Shanghai YingLi Pharmaceutical Co. Ltd.,8
"Sinovac (Dalian) Vaccine Technology Co., Ltd.",8
"Staidson (Beijing) Biopharmaceuticals Co., Ltd",8
"Suzhou Abogen Biosciences Co., Ltd.",8
"Suzhou Alphamab Co., Ltd.",8
Synthekine,8
SystImmune Inc.,8
TILT Biotherapeutics Ltd.,8
Takara Bio Inc.,8
"Verastem, Inc.",8
Vertex Pharmaceuticals Incorporated,8
Vironexis Biotherapeutics Inc.,8
"Wigen Biomedicine Technology (Shanghai) Co., Ltd.",8
"Xiamen Amoytop Biotech Co., Ltd.",8
Zhongmou Therapeutics,8
iOnctura,8
JANSSEN BIOTECH INC,7
AMNEAL PHARMACEUTICAL,7
MIKART LLC,7
MICRO LABS LTD INDIA,7
CARLSBAD TECHNOLOGY INC,7
ENCUBE ETHICALS PVT LTD,7
ORGANON LLC,7
UPJOHN US 2 LLC,7
PIRAMAL HEALTHCARE UK LTD,7
AVET LIFESCIENCES PRIVATE LTD,7
SALIX PHARMACEUTICALS INC,7
HETERO LABS LTD UNIT VI,7
MYLAN SPECIALTY LP,7
PLIVA INC,7
THEA PHARMA INC,7
CHIESI FARMACEUTICI SPA,7
VALIDUS PHARMACEUTICALS LLC,7
AMNEAL PHARMACEUTICALS OF NY LLC,7
NEPHRON PHARMACEUTICALS CORPORATION,7
ANTHEA PHARMA PRIVATE LTD,7
CHIESI USA INC,7
HIKMA INTERNATIONAL PHARMACEUTICALS LLC,7
ORIENT PHARMA CO LTD,7
