owner_name,asset_count
MERCK SHARP AND DOHME LLC,6
VISTAPHARM LLC,6
XIAMEN LP PHARMACUETICAL CO LTD,6
ALMIRALL LLC,6
LEO PHARMA AS,6
MAIA PHARMACEUTICALS INC,6
PIRAMAL CRITICAL CARE INC,6
CHARTWELL SCHEDULED LLC,6
ACTELION PHARMACEUTICALS US INC,6
CHEPLAPHARM ARZNEIMITTEL GMBH,6
DIFGEN PHARMACEUTICALS LLC,6
SINOTHERAPEUTICS INC,6
HISUN PHARMACEUTICAL (HANGZHOU) CO LTD,6
OMNIVIUM PHARMACEUTICALS LLC,6
XELLIA PHARMACEUTICALS APS,6
JIANGSU HENGRUI PHARMACEUTICALS CO LTD,6
KINDOS PHARMACEUTICALS CO LTD,6
BIOCON PHARMA INC,6
ACTAVIS TOTOWA LLC,6
VIWIT PHARMACEUTICAL CO LTD,6
JUBILANT DRAXIMAGE INC DBA JUBILANT RADIOPHARMA,6
ACCORD BIOPHARMA INC.,6
"AJU Pharm Co., Ltd.",6
"Acepodia Biotech, Inc.",6
Actinium Pharmaceuticals,6
AgelessRx,6
Anabio R&D,6
Aplagon Oy,6
Astellas Gene Therapies,6
Astellas Institute for Regenerative Medicine,6
Aston Sci. Inc.,6
Autotelicbio,6
"Base Therapeutics (Shanghai) Co., Ltd.",6
Bavarian Nordic,6
"Beijing Immunochina Medical Science & Technology Co., Ltd.",6
"Beijing Inno Medicine Co., Ltd.",6
Beijing Union Pharmaceutical Factory Ltd,6
"Beijing VDJBio Co., LTD.",6
"Binhui Biopharmaceutical Co., Ltd.",6
BioVersys SAS,6
Biocon Biologics UK PLC,6
Bioray Laboratories,6
"CARsgen Therapeutics Co., Ltd.",6
"CSPC Baike (Shandong) Biopharmaceutical Co., Ltd.",6
Carina Biotech Limited,6
ChainGen Biopharma Ltd,6
"Chongqing Peg-Bio Biopharm Co., Ltd.",6
"Daiichi Sankyo Co., Ltd.",6
"EpicentRx, Inc.",6
"Evergreen Therapeutics, Inc.",6
EyeBiotech Ltd.,6
"FindCure Biosciences (ZhongShan) Co., Ltd.",6
"Ganzhou Hemay Pharmaceutical Co., Ltd",6
"Genzyme, a Sanofi Company",6
Hummingbird Bioscience,6
ITM Solucin GmbH,6
InnoCare Pharma Inc.,6
Inventprise Inc.,6
"Joincare Pharmaceutical Group Industry Co., Ltd",6
"K-Group, Beta, Inc., a wholly owned subsidiary of Zentalis Pharmaceuticals, Inc",6
"K36 Therapeutics, Inc.",6
"Kexing Biopharm Co., Ltd.",6
Laekna Limited,6
Livzon Pharmaceutical Group Inc.,6
"Mather's Pharm. Co., Ltd.",6
MediBeacon,6
Megalabs,6
"NS Pharma, Inc.",6
"Nurix Therapeutics, Inc.",6
"Nuwacell Biotechnologies Co., Ltd.",6
"OnKure, Inc.",6
Oncotherapeutics,6
"Orion Corporation, Orion Pharma",6
"Poseida Therapeutics, Inc.",6
Quoin Pharmaceuticals,6
R1 Therapeutics,6
Sapience Therapeutics,6
Seattle Project Corporation,6
"Shaanxi Micot Pharmaceutical Technology Co., Ltd.",6
"Shanghai Allink Biotherapeutics Co., Ltd.",6
"Shanghai BDgene Co., Ltd.",6
"Shanghai Bao Pharmaceuticals Co., Ltd.",6
"Shanghai Huilun Pharmaceutical Co., Ltd.",6
"Shenzhen TargetRx Co., Ltd.",6
"SpringWorks Therapeutics, Inc., a healthcare company of Merck KGaA, Darmstadt, Germany",6
"SpyGlass Pharma, Inc.",6
"Suzhou BlueHorse Therapeutics Co., Ltd.",6
THPharm Corp.,6
"Tango Therapeutics, Inc.",6
Teclison Ltd.,6
Terran Biosciences Australia Pty Ltd,6
Tolmar Inc.,6
"Treadwell Therapeutics, Inc",6
Uniquity One (UNI),6
Vaxine Pty Ltd,6
"Wanbangde Pharmaceutical Group Co., LTD",6
Zhaoke (Guangzhou) Ophthalmology Pharmaceutical Ltd.,6
NE RX PHARMA LLC,5
LNK INTERNATIONAL INC,5
TEVA BRANDED PHARMACEUTICAL PRODUCTS R AND D INC,5
ACTAVIS ELIZABETH LLC AN INDIRECT WHOLLY OWNED SUB OF TEVA PHARMACEUTICALS USA INC,5
SUNNY PHARMTECH INC,5
ZENARA PHARMA PRIVATE LTD,5
PURACAP LABORATORIES LLC DBA BLU PHARMACEUTICALS,5
HETERO LABS LTD,5
VIVUS LLC,5
ACROTECH BIOPHARMA INC,5
ALTAIRE PHARMACEUTICALS INC,5
THEPHARMANETWORK LLC,5
EUROFARMA INC,5
HAINAN SHUANGCHENG PHARMACEUTICALS CO LTD,5
ESJAY PHARMA LLC,5
SEPTODONT INC,5
KNOA PHARMA LLC,5
BAYER HEALTHCARE LLC,5
AREVA PHARMACEUTICALS INC,5
SAMSON MEDICAL TECHNOLOGIES LLC,5
CONTRACT PHARMACAL CORP,5
TEVA PHARMACEUTICALS DEVELOPMENT INC,5
FERRING PHARMACEUTICALS INC,5
JANSSEN PRODUCTS LP,5
RICONPHARMA LLC,5
STIRA PHARMACEUTICALS LLC,5
HISUN PHARMACEUTICAL HANGZHOU CO LTD,5
HAINAN POLY PHARMACEUTICAL CO LTD,5
PLATINUM PHARMACEUTICALS,5
KANCHAN HEALTHCARE INC,5
PRASCO LLC DBA PRASCO LABORATORIES,5
RECKITT BENCKISER LLC,5
AMTA LABS LTD,5
ZYDUS WORLDWIDE DMCC,5
AUROBINDO PHARMA LIMITED,5
RK PHARMA INC,5
VKT PHARMA PRIVATE LTD,5
REYOUNG CORPORATION,5
CHATTEM INC DBA SANOFI CONSUMER HEALTHCARE,5
CARDINAL HEALTH 414 LLC CARDINAL HEALTH NUCLEAR PHARMACY SERVICES,5
INNOGENIX LLC,5
OSMOTICA PHARMACEUTICAL US LLC,5
BTG INTERNATIONAL INC,5
PFIZER LABORATORIES DIV PFIZER INC,5
HERITAGE PHARMA LABS INC DBA AVET PHARMACEUTICALS LABS INC,5
CROSSMEDIKA SA,5
CONCORD BIOTECH LTD,5
FRESENIUS KABI USA,5
BIOCON BIOLOGICS INC,5
GENZYME,5
MERCK SHARP DOHME,5
FERRING,5
AP Biosciences Inc.,5
Abivax S.A.,5
Ache Laboratorios Farmaceuticos S.A.,5
Advanced Accelerator Applications,5
Advenchen Laboratories Nanjing Ltd.,5
"Aminex Therapeutics, Inc.",5
Aphaia Pharma US LLC,5
Artios Pharma Ltd,5
"Ashvattha Therapeutics, Inc.",5
"Astria Therapeutics, Inc.",5
Atridia Pty Ltd.,5
"Avidity Biosciences, Inc.",5
BRIM Biotechnology Inc.,5
"Beijing Dongfang Biotech Co., Ltd.",5
BeyondBio Inc.,5
BioAegis Therapeutics Inc.,5
Biocells Medical,5
Biocodex,5
CONNEXT,5
Calico Life Sciences LLC,5
CanariaBio Inc.,5
Carnot Laboratories,5
"Cellid Co., Ltd.",5
Chengdu New Radiomedicine Technology Co. LTD.,5
"Chia Tai Tianqing Pharmaceutical (Guangzhou) Co., Ltd.",5
Cho Pharma Inc.,5
"Coherus Oncology, Inc.",5
CuraCell TX AB,5
Delcath Systems Inc.,5
Dr. Md. Alimur Reza,5
"E-nitiate Biopharmaceuticals (Hangzhou) Co., Ltd.",5
"Eisai Co., Ltd.",5
Enyo Pharma,5
"Erasca, Inc.",5
"Ever Supreme Bio Technology Co., Ltd.",5
Faron Pharmaceuticals Ltd,5
"Forma Therapeutics, Inc.",5
"Forward Pharmaceuticals Co., Ltd.",5
Frontera Therapeutics,5
GC Cell Corporation,5
GeneCradle Inc,5
"Grand Theravac Life Sciences (Nanjing) Co., Ltd.",5
Grünenthal GmbH,5
"Guangdong ProCapZoom Biosciences Co., Ltd.",5
HRYZ Biotech Co.,5
Healthgen Biotechnology Corp.,5
Hemab ApS,5
"Henan Genuine Biotech Co., Ltd.",5
HighField Biopharmaceuticals Corporation,5
"IDBiologics, Inc.",5
ITB-Med LLC,5
"Imbioray (Hangzhou) Biomedicine Co., Ltd.",5
Imunon,5
Incyte Biosciences Japan GK,5
"Innostellar Biotherapeutics Co.,Ltd",5
"Inventage Lab., Inc.",5
"JCR Pharmaceuticals Co., Ltd.",5
"Jacobio Pharmaceuticals Co., Ltd.",5
Janssen Pharmaceutical K.K.,5
"Kissei Pharmaceutical Co., Ltd.",5
"Kolon TissueGene, Inc.",5
LEO Pharma,5
"Lanzhou Institute of Biological Products Co., Ltd",5
Lee's Pharmaceutical Limited,5
Light Chain Bioscience - Novimmune SA,5
Locus Biosciences,5
MOMA Therapeutics,5
MegaPro Biomedical Co. Ltd.,5
Modern Biosciences Ltd,5
"Moonlight Therapeutics, Inc.",5
Myeloid Therapeutics,5
"NGM Biopharmaceuticals, Inc",5
"Nanjing Immunophage Biotech Co., Ltd",5
NewAmsterdam Pharma,5
"Novita Pharmaceuticals, Inc.",5
"OBI Pharma, Inc",5
Oncomatryx Biopharma S.L.,5
Onward Therapeutics,5
Otsuka Beijing Research Institute,5
"Pacira Pharmaceuticals, Inc",5
"Peloton Therapeutics, Inc., a subsidiary of Merck & Co., Inc. (Rahway, New Jersey USA)",5
PharmaEssentia,5
PharmaMar,5
"Pharmbio Korea Co., Ltd.",5
Procter and Gamble,5
"QED Therapeutics, a BridgeBio company",5
"Qurient Co., Ltd.",5
Rovi Pharmaceuticals Laboratories,5
Ryvu Therapeutics SA,5
Salubris Biotherapeutics Inc,5
"Samsung Bioepis Co., Ltd.",5
"Sclnow Biotechnology Co., Ltd.",5
Sellas Life Sciences Group,5
Shanghai AbelZeta Ltd.,5
"Shanghai Jiaolian Drug Research and Development Co., Ltd",5
"Shanghai Ming Ju Biotechnology Co., Ltd.",5
"Shenzhen Ionova Life Sciences Co., Ltd.",5
"Shenzhen Kangzhe Biotechnology Co., Ltd.",5
"Shenzhen Majory Biotechnology Co., Ltd.",5
"Sinomune Pharmaceutical Co., Ltd",5
"Sirius Therapeutics Co., Ltd.",5
Sun Pharma Advanced Research Company Limited,5
"Suzhou Immunofoco Biotechnology Co., Ltd",5
TCR2 Therapeutics,5
TenNor Therapeutics Inc.,5
Tessa Therapeutics,5
Therakos LLC,5
Tyligand Bioscience (Shanghai) Limited,5
VarmX B.V.,5
"Vasgene Therapeutics, Inc",5
"Verona Pharma, Inc., a subsidiary of Merck & Co., Inc. (Rahway, New Jersey USA",5
"Vyriad, Inc.",5
"Wugen, Inc.",5
"Wuhan Createrna Science and Technology Co., Ltd",5
Xintian Pharmaceutical,5
Zealand Pharma,5
Zhejiang Teruisi Pharmaceutical Inc.,5
iCell Gene Therapeutics,5
iTeos Therapeutics,5
NOVUGEN ONCOLOGY SDN BHD,4
ASTRAZENECA UK LTD,4
GENUS LIFE SCIENCES INC,4
WES PHARMA INC,4
AZURITY PHARMACEUTICALS SWITZERLAND GMBH,4
ACERTIS PHARMACEUTICALS LLC,4
AIZANT DRUG RESEARCH SOLUTIONS PRIVATE LTD,4
SOLVENTUM US LLC,4
HARMAN FINOCHEM LTD,4
CMP DEVELOPMENT LLC,4
MAYO CLINIC PET RADIOCHEMISTRY FACILITY,4
CEDIPROF INC,4
TORRENT PHARMA INC,4
PHARMACIA AND UPJOHN CO,4
OTSUKA PHARMACEUTICAL CO LTD,4
PENN LIFE SCIENCES LLC,4
MEDEFIL INC,4
WINDER LABORATOIRIES LLC,4
ANDAS 5 HOLDING LLC,4
WYETH PHARMACEUTICALS LLC,4
PHARMASCIENCE INC,4
INVENTIA HEALTHCARE PRIVATE LTD,4
MYLAN IRELAND LTD,4
SUVEN PHARMACEUTICALS LTD,4
SQUARE PHARMACEUTICALS PLC,4
VANTIVE US HEALTHCARE LLC,4
TEYRO LABS PRIVATE LTD,4
AVION PHARMACEUTICALS LLC,4
IMPAX LABORATORIES LLC,4
SOLA PHARMACEUTICALS,4
POINTVIEW HOLDINGS LLC,4
QILU ANTIBIOTICS PHARMACEUTICAL CO LTD,4
APOZEAL PHARMACEUTICALS INC,4
ESTEVE PHARMACEUTICALS SA,4
EMD SERONO INC,4
ALEMBIC THERAPEUTICS LLC,4
HEC PHARM USA INC,4
ZHEJIANG JINGXIN PHARMACEUTICAL CO LTD,4
UBI PHARMA INC,4
THE J MOLNER CO OU,4
PANGEA PHARMACEUTICALS LLC,4
NOVEN PHARMACEUTICALS INC,4
LIEBEL-FLARSHEIM CO LLC,4
IBSA INSTITUT BIOCHIMIQUE SA,4
BARR LABORATORIES LLC (AN INDIRECT WHOLLY OWNED SUB OF TEVA PHARMACEUTICALS USA INC),4
VELZEN PHARMA PVT LTD,4
CHANGZHOU PHARMACEUTICAL FACTORY,4
ZYDUS HEALTHCARE USA LLC,4
DAIICHI SANKYO INC,4
IPSEN BIOPHARMACEUTICALS INC,4
ABON PHARMACEUTICALS LLC,4
SUMITOMO PHARMA AMERICA INC,4
GUARDIAN DRUG CO,4
PARKE DAVIS DIV WARNER LAMBERT CO,4
ORGANON USA LLC,4
GLAXOSMITHKLINE INTELLECTUAL PROPERTY DEVELOPMENT LTD ENGLAND,4
GLAXO GROUP LTD ENGLAND DBA GLAXOSMITHKLINE,4
HIKMA PHARMACEUTICALS INTERNATIONAL LTD,4
FOSUN WANBANG (JIANGSU) PHARMACEUTICAL GROUP CO LTD,4
I 3 PHARMACEUTICALS LLC,4
CROWN LABORATORIES INC,4
MERCK SHARP AND DOHME CORP,4
INTERNATIONAL MEDICATION SYSTEM,4
ARTHUR GROUP LLC,4
KING PHARMACEUTICALS LLC,4
SHINE SPECT USA LLC,4
ALEXION PHARM,4
EMD SERONO,4
SANOFI AVENTIS US,4
A2 Biotherapeutics Inc.,4
"ABL Bio, Inc.",4
Acrotech Biopharma Inc.,4
Actuate Therapeutics Inc.,4
Adicet Therapeutics,4
"Airiver Medical, Inc.",4
Alimera Sciences,4
Allyx Therapeutics,4
Alvotech Swiss AG,4
Amckaus PTY LTD.,4
Amicus Therapeutics,4
Amplia Therapeutics Limited,4
"AmtixBio Co., Ltd.",4
"Anbogen Therapeutics, Inc.",4
"Anhui Palo Alto Pharmaceuticals, Inc.",4
"Anxo Pharmaceutical Co., Ltd.",4
Arthrosi Therapeutics,4
"Artiva Biotherapeutics, Inc.",4
Ascendis Pharma Oncology Division A/S,4
"Aulos Bioscience, Inc.",4
Aurigene Discovery Technologies Limited,4
Autolus Limited,4
"BOE Technology Group Co., Ltd.",4
"Beijing Gene Key Life Technology Co., Ltd",4
Berlin-Chemie AG Menarini Group,4
Beyond Air Inc.,4
Bharat Biotech International Limited,4
Biogenea Pharmaceuticals Ltd.,4
"Biomed Industries, Inc.",4
"BlueSphere Bio, Inc",4
Blueprint Medicines Corporation,4
Brainfarma Industria Química e Farmacêutica S/A,4
Brii Biosciences Limited,4
CEN Biotech,4
"CERo Therapeutics Holdings, Inc.",4
Candid Therapeutics,4
CellARTs Inc.,4
"CellSight Technologies, Inc.",4
"Cellbion Co., Ltd.",4
"Cellenkos, Inc.",4
Celltex Therapeutics Corporation,4
Centessa Pharmaceuticals (UK) Limited,4
"Changchun Tuohua Pharmaceutical Co., Ltd.",4
"Changzhou Qianhong Bio-pharma Co., Ltd.",4
"Chengdu CoenBiotech Co., Ltd",4
Cinclus Pharma Holding AB,4
Citryll BV,4
"Clear Scientific, Inc.",4
Corcept Therapeutics,4
"CorrectSequence Therapeutics Co., Ltd",4
Crinetics Pharmaceuticals Inc.,4
"Day One Biopharmaceuticals, Inc.",4
Diakonos Oncology Corporation,4
Dompé Farmaceutici S.p.A,4
Dr. F. Köhler Chemie GmbH,4
Dr. Falk Pharma GmbH,4
DynamiCure Biotechnology,4
"Eidos Therapeutics, a BridgeBio company",4
"Elpiscience (Suzhou) Biopharma, Ltd.",4
"Endeavor Biomedicines, Inc.",4
"Energenesis Biomedical Co., Ltd.",4
Engeneic Pty Limited,4
Epitopoietic Research Corporation,4
"Everfront Biotech Co., Ltd.",4
"Exscientia AI Ltd., a wholly owned subsidiary of Recursion Pharmaceuticals, Inc.",4
"EyePoint Pharmaceuticals, Inc.",4
Flare Therapeutics Inc.,4
Freya Biosciences ApS,4
Fruithy Holdings Limited,4
"Fujifilm Pharmaceuticals U.S.A., Inc.",4
GCP-Service International West GmbH,4
"General Oncology, Inc.",4
"GrandPharma (China) Co., Ltd.",4
Grifols Therapeutics LLC,4
Guangzhou Jiayin Biotech Ltd,4
"Guangzhou Ruianbo Pharmaceutical Technology Co., Ltd",4
"Guangzhou Virotech Pharmaceutical Co., Ltd.",4
"HTA Co., Ltd.",4
"HUYABIO International, LLC.",4
"Halda Therapeutics OpCo, Inc.",4
"Hangzhou Highlightll Pharmaceutical Co., Ltd",4
"Hanlim Pharm. Co., Ltd.",4
"Harpoon Therapeutics, Inc., a subsidiary of Merck & Co., Inc. (Rahway, New Jersey USA)",4
Health Hope Pharma,4
"Hefei Xinzhu Biological Technology Co., Ltd.",4
"Helixon Biotechnology (Suzhou) Co., Ltd",4
"HuidaGene Therapeutics Co., Ltd.",4
IVIEW Therapeutics Inc.,4
Ikaria Bioscience Pty Ltd,4
"Immorna Biotherapeutics, Inc.",4
ImmunoGenesis,4
"ImmunoVaccine Technologies, Inc. (IMV Inc.)",4
Immunocore Ltd,4
Imugene Limited,4
Incyte Biosciences International Sàrl,4
Innervate Radiopharmaceuticals LLC (Formerly: Illumina Radiopharmaceuticals LLC),4
InnoPharmax Inc.,4
InnoVec Biotherapeutics Inc.,4
Innolake Biopharm,4
Innoviva Specialty Therapeutics,4
Inovio Pharmaceuticals,4
Institut Pasteur,4
Institut de Recherches Internationales Servier (I.R.I.S.),4
Italfarmaco,4
"Jiangsu Genscend Biopharmaceutical Co., Ltd",4
"Jiangsu Healthy Life Innovation Medical Technology Co., Ltd",4
"Jiangsu Kanion Pharmaceutical Co., Ltd",4
"Jiangsu Topcel-KH Pharmaceutical Co., Ltd.",4
Juventas Cell Therapy Ltd.,4
Kind Pharmaceuticals LLC,4
Klotho Sciences Australia Pty Ltd.,4
Klus Pharma Inc.,4
"Kriya Therapeutics, Inc.",4
"Krystal Biotech, Inc.",4
"LARKSPUR BIOSCIENCES, INC.",4
Labo'Life,4
Lantern Pharma Inc.,4
Lantheus Medical Imaging,4
"Lepu Biopharma Co., Ltd.",4
Lion TCR Pte. Ltd.,4
LiteVax BV,4
"Lomond Therapeutics Holdings, Inc.",4
LucasBio,4
Luminary Therapeutics,4
Lupin Ltd.,4
Mabylon AG,4
Medipost Co Ltd.,4
MindRank AI Ltd,4
"ModeX Therapeutics, An OPKO Health Company",4
"NEOK Bio, Inc.",4
NETRIS Pharma,4
"Nacuity Pharmaceuticals, Inc.",4
"Nanjing Bioheng Biotech Co., Ltd.",4
Nerviano Medical Sciences,4
Newave Pharmaceutical Inc,4
"Newsoara Biopharma Co., Ltd.",4
"NiKang Therapeutics, Inc.",4
"NovaOnco Therapeutics Co., Ltd.",4
Noxopharm Limited,4
NuvOx LLC,4
"Oblato, Inc.",4
"Orbus Therapeutics, Inc.",4
Orchard Therapeutics,4
Oscotec Inc.,4
"PRG Science & Technology Co., Ltd.",4
Pharmacosmos A/S,4
"Pharmazz, Inc.",4
Plus Therapeutics,4
PolyActiva Pty Ltd,4
Pulmongene Ltd.,4
"Qlaris Bio, Inc.",4
Quanta Therapeutics,4
Rapa Therapeutics LLC,4
Regend Therapeutics,4
Reistone Biopharma Company Limited,4
"Riboscience, LLC.",4
Rise Therapeutics LLC,4
"S.Biomedics Co., Ltd.",4
SCG Cell Therapy Pte. Ltd.,4
SONIRE Therapeutics Inc.,4
"Santen Pharmaceutical Co., Ltd.",4
Servier,4
"Shanghai Auzone Biological Technology Co., Ltd.",4
"Shanghai Best-Link Bioscience, LLC",4
"Shanghai First Song Biotechnology Co., LTD",4
Shanghai Mabgeek Biotech.Co.Ltd,4
"Shanghai Unicar-Therapy Bio-medicine Technology Co.,Ltd",4
"Shanghai Yidian Pharmaceutical Technology Development Co., Ltd.",4
"Shenzhen Beike Bio-Technology Co., Ltd.",4
"Shenzhen Shenxin Biotechnology Co., Ltd",4
Shijiazhuang Yiling Pharmaceutical Co. Ltd,4
"Sichuan Luzhou Buchang Biopharmaceutical Co., Ltd.",4
"Sichuan Purity Pharmaceutical Technology Co., Ltd.",4
"SignPath Pharma, Inc.",4
SmartNuclide Biopharma,4
Swedish Orphan Biovitrum,4
SynAct Pharma Aps,4
"Synnovation Therapeutics, Inc.",4
"Syntrix Biosystems, Inc.",4
TCRx Therapeutics Co.Ltd,4
TME Pharma AG,4
"TaiRx, Inc.",4
Thirty Respiratory Limited,4
"Tizona Therapeutics, Inc",4
Totus Medicines,4
"Tr1X, Inc.",4
UniQure Biopharma B.V.,4
VelaVigo Bio Inc,4
"Vir Biotechnology, Inc.",4
Virion Therapeutics,4
"Vivace Therapeutics, Inc",4
"Wayshine Biopharm, Inc.",4
Worcester HIV Vaccine,4
"XellSmart Bio-Pharmaceutical (Suzhou) Co., Ltd.",4
"Xynomic Pharmaceuticals, Inc.",4
"Zhejiang Sunshine Mandi Pharmaceutical Co.,Ltd.",4
Zydus Therapeutics Inc.,4
HIKMA PHARMACEUTICALS LLC,3
PHARMACEUTICAL ASSOC INC,3
MYLAN ASI LLC,3
SQUARE PHARMACEUTICALS LTD,3
ACTAVIS LABORATORIES UT INC INDIRECT WHOLLY OWNED SUB OF TEVA PHARMACEUTICALS USA INC,3
ARMSTRONG PHARMACEUTICALS INC,3
LEXENPHARM SUZHOU LTD,3
LUOXIN AUROVITAS PHARMA CHENGDU CO LTD,3
HANGZHOU MINSHENG BINJIANG PHARMACEUTICAL CO LTD,3
LXO IRELAND DESIGNATED ACTIVITY CO,3
ZHEJIANG JUTAI PHARMACEUTICAL CO LTD,3
SOLUBIOMIX LLC,3
CATALYST PHARMACEUTICALS INC,3
3D IMAGING DRUG DESIGN AND DEVELOPMENT LLC,3
BIOMEDICAL RESEARCH FOUNDATION NORTHWEST LOUISANA,3
FEINSTEIN INSTITUTE MEDICAL RESEARCH,3
KREITCHMAN PET CENTER,3
MIPS CYCLOTRON AND RADIOCHEMISTRY FACILITY,3
NCM USA BRONX LLC,3
PETNET SOLUTIONS INC,3
PRECISION NUCLEAR LLC,3
THE METHODIST HOSP RESEARCH INSTITUTE,3
SANALUZ LLC,3
ANTIBIOTICE SA,3
BEIJING YILING BIO-ENGINEERING TECHNOLOGY CO LTD,3
KENTON CHEMICALS AND PHARMACEUTICALS CORP,3
CEPHALON INC,3
DEPROCO INC,3
JEROME STEVENS PHARMACEUTICALS INC,3
GALT PHARMACEUTICALS LLC,3
SHANDONG XINHUA PHARMACEUTICAL CO LTD,3
ACTAVIS LLC,3
RELIANCE LIFE SCIENCES PVT LTD,3
NORTHSTAR HEALTHCARE HOLDINGS LTD,3
VALEANT PHARMACEUTICALS INTERNATIONAL,3
EAGLE PHARMACEUTICALS INC,3
BAUSCH AND LOMB IRELAND LTD,3
PRIMUS PHARMACEUTICALS INC,3
AILEX PHARMACEUTICALS LLC,3
INDIVIOR INC,3
ETHYPHARM INC,3
ANBISON LABORATORY CO LTD,3
EIRGEN PHARMA LTD,3
HERITAGE PHARMACEUTICALS INC,3
EXTROVIS AG,3
PHARMACHEMIE BV,3
MLV PHARMA LLC,3
SAREPTA THERAPEUTICS INC,3
TAIHO ONCOLOGY INC,3
SHIONOGI INC,3
CUBIST PHARMACEUTICALS LLC,3
QINGDAO BAHEAL PHARMACEUTICAL CO LTD,3
SCILEX PHARMACEUTICALS INC,3
CATALENT PHARMA SOLUTIONS LLC,3
PLD ACQUISITIONS LLC DBA AVEMA PHARMA SOLUTIONS,3
LYNE LABORATORIES INC,3
ZAMEER PHARMACEUTICALS LLC,3
MEDTECH PRODUCTS INC,3
ALMATICA PHARMA INC,3
SCINOPHARM TAIWAN LTD,3
IXORA LIFESCIENCE LLP,3
SENTYNL THERAPEUTICS INC,3
MALLINCKRODT PHARMACEUTICALS IRELAND LTD,3
FERA PHARMACEUTICALS LLC,3
MOUNTAIN LLC,3
LEADIANT BIOSCIENCES INC,3
MERZ PHARMACEUTICALS LLC,3
SOLIS PHARMACEUTICALS INC,3
CHEMI SPA,3
DOCTOR REDDYS LABORATORIES LTD,3
DURAMED PHARMACEUTICALS INC SUB BARR LABORATORIES INC,3
TEVA NEUROSCIENCE INC,3
ADARE PHARMACEUTICALS INC,3
AVONDALE PHARMACEUTICALS LLC,3
UTOPIC PHARMACEUTICALS INC,3
VALEANT PHARMACEUTICALS NORTH AMERICA LLC,3
PROVEPHARM SAS,3
PLD ACQUISITIONS LLC,3
CHARTWELL INJECTABLES LLC,3
ACTAVIS LLC AN INDIRECT WHOLLY OWNED SUB OF TEVA PHARMACEUTICALS USA INC,3
SANDOZ,3
CURRAX PHARMACEUTICALS LLC,3
EMERGE BIOSCIENCE PTE LTD,3
CHIA TAI TIANQING PHARMACEUTICAL GROUP CO LTD,3
ZHEJIANG YONGTAI PHARMACEUTICAL CO LTD,3
AGNITIO INC,3
ORGANON USA LLC A SUB OF ORGANON AND CO,3
LUPIN LIMITED,3
PHARMACO LLC,3
BOSTAL LLC,3
CIPHER PHARMACEUTICALS INC,3
GE HEALTHCARE INC,3
"HOSPIRA WORLDWIDE, INC",3
SYNTHON BV,3
TERSERA THERAPEUTICS LLC,3
CMP PHARMA INC,3
SOFGEN PHARMACEUTICALS LLC,3
NANG KUANG PHARMACEUTICAL CO LTD,3
ALLERGAN SALES LLC,3
STERANCO HEALTHCARE PVT LTD,3
HONG KONG KING FRIEND INDUSTRIAL CO LTD,3
LABORATOIRE HRA PHARMA,3
SHORLA PHARMA LTD,3
CHENGDU SHUODE PHARMACEUTICAL CO LTD,3
GLAUKOS CORP,3
PANACEA BIOTEC PHARMA LTD,3
HOPE PHARMACEUTICALS,3
CELLTRION,3
COHERUS BIOSCIENCES INC,3
MYLAN PHARMS INC,3
BIOMARIN PHARM,3
NOVARTIS PHARMS CORP,3
NOVO,3
SANOFI-AVENTIS US,3
"7 Hills Pharma, LLC",3
"ARCE Therapeutics, Inc.",3
"ARJ Medical, Inc.",3
"AVEO Pharmaceuticals, Inc.",3
AVVA Pharmaceuticals Ltd.,3
Adcendo ApS,3
"Advenchen Pharmaceuticals, LLC.",3
"Adverum Biotechnologies, Inc.",3
"AgonOx, Inc.",3
"Aimei Vacin BioPharm (Zhejiang) Co., Ltd.",3
"Akouos, Inc.",3
"Akyso Therapeutics, LLC",3
Alebund Pharmaceuticals,3
Alpha-9 Oncology USA Inc.,3
Amal Therapeutics,3
"Anagram Therapeutics, Inc.",3
Andover Research Eye Institute,3
Animuscure Inc.,3
"Ankyra Therapeutics, Inc",3
Anova Innovation Limited,3
"Ansun Biopharma, Inc.",3
Antengene Biologics Limited,3
"Anterogen Co., Ltd.",3
"Antidote Therapeutics, Inc",3
Aptose Biosciences Inc.,3
"ArriVent BioPharma, Inc.",3
"Arsenal Biosciences, Inc.",3
AusperBio Therapeutics Inc.,3
Avirmax Biopharma Inc,3
Bazelet Nehushtan LtD.,3
"Beijing Youcare Kechuang Pharmaceutical Technology Co., Ltd.",3
"Beta Pharma (Suzhou) Co., Ltd.",3
"Bichedam Co., Ltd.",3
BioEclipse Therapeutics,3
"BioTheraVision, Inc.",3
Biogen,3
Bionoxx Inc.,3
BlossomHill Therapeutics,3
Blue Earth Diagnostics,3
BriaCell Therapeutics Corporation,3
BrightGene New Bio-Medical Technology(Wuxi) Co.Ltd.,3
"Broadenbio Ltd., Co.",3
Byondis B.V.,3
"C4 Therapeutics, Inc.",3
CUTISS AG,3
Cajal Therapeutics Inc.,3
Calla Lily Clinical Care Ltd,3
Camurus AB,3
Can-Fite BioPharma,3
Canwell Biotech Limited,3
CarThera,3
Cardiff Oncology,3
Changchun Intellicrown Pharmaceutical Co. LTD,3
"Chengdu Ucello Biotechnology Co., Ltd.",3
"Clarent Biopharma, Inc.",3
Clover Biopharmaceuticals AUS Pty,3
Code Pharma,3
